country,country_name,region,quarter,year,quarter_num,unemp,cpi,ipi,cci,gdp_growth,period,cpi_yoy,ipi_yoy,cpi_qoq,high_inflation,high_unemp,trend,is_turkiye,group
MEX,Mexico,Americas,2023Q3,2023,3,2.7672073333333334,147.7378666666667,112.4332,46.55566666666667,3.257828583,Normal,4.625376162953754,0.9487034525814231,0.9972258517619625,0,0,75,0,Other OECD
MEX,Mexico,Americas,2023Q4,2023,4,2.773387666666667,149.99296666666666,112.19766666666668,46.553333333333335,2.152376978,Normal,4.414576865610487,-0.10648407279617578,1.5264197669024426,0,0,76,0,Other OECD
MEX,Mexico,Americas,2024Q1,2024,1,2.6289933333333333,152.607,111.79753333333332,47.24333333333333,1.842602368,Normal,4.567861954826835,0.013657503217556766,1.7427706054661707,0,0,77,0,Other OECD
MEX,Mexico,Americas,2024Q2,2024,2,2.709118,153.25956666666667,111.30353333333332,47.41066666666666,0.974446123,Normal,4.77199527661043,-1.0065643697795945,0.4276125385248797,0,0,78,0,Other OECD
MEX,Mexico,Americas,2024Q3,2024,3,2.7395720000000003,155.1579,112.74146666666668,47.03033333333334,1.362602494,Normal,5.022431622134338,0.2741776153900144,1.2386393715063448,0,0,79,0,Other OECD
POL,Poland,Europe,2006Q1,2006,1,15.5,80.72174666666666,61.14472000000001,-3.6666666666666665,5.659353719,Normal,0.9729443312794794,11.639765519815182,-0.023891196839143092,0,1,5,0,Other OECD
POL,Poland,Europe,2006Q2,2006,2,14.366666666666667,81.40008,64.58817666666666,-6.433333333333334,7.812653112,Normal,1.2277395569512572,16.736738601429412,0.8403353016312343,0,1,6,0,Other OECD
POL,Poland,Europe,2006Q3,2006,3,13.5,81.67141666666667,66.21684333333333,-4.066666666666666,7.565804771,Normal,1.6837517943544489,15.879483558632224,0.3333371007333996,0,1,7,0,Other OECD
POL,Poland,Europe,2006Q4,2006,4,12.4,81.75282,69.28804333333333,-2.8000000000000003,4.167725054,Normal,1.253121553926051,14.538464234248494,0.099671753785735,0,1,8,0,Other OECD
POL,Poland,Europe,2007Q1,2007,1,10.766666666666666,82.34974666666666,71.05630333333333,-2.966666666666667,6.857435947,Normal,2.0168047239149667,16.210039613123307,0.7301603377922072,0,1,9,0,Other OECD
POL,Poland,Europe,2007Q2,2007,2,9.733333333333333,83.38082000000001,71.19590333333333,-0.3999999999999999,5.723198251,Normal,2.4333391318534403,10.230551484319683,1.2520661872912786,0,1,10,0,Other OECD
POL,Poland,Europe,2007Q3,2007,3,9.3,83.27229,72.91763333333334,0.4333333333333333,5.837147845,Normal,1.9601390531367002,10.119464569261428,-0.13016182858361924,0,1,11,0,Other OECD
POL,Poland,Europe,2007Q4,2007,4,8.633333333333333,84.54754666666666,74.31363333333333,3.3666666666666667,8.748981104,Normal,3.4185079691032794,7.253185049291555,1.531429802959261,0,1,12,0,Other OECD
